id,scrape_date,category,building_name,address,nearest_station1,nearest_station2,nearest_station3,building_age,total_floors,room_floor,rent,management_fee,deposit,gratuity,layout,area,url,page_number
30,2025-01-18 20:35:28,賃貸アパート,ＪＲ八高線 児玉駅 2階建 築18年,埼玉県本庄市児玉町吉田林,ＪＲ八高線/児玉駅 歩10分,ＪＲ八高線/丹荘駅 車9分(4.6km),ＪＲ高崎線/熊谷駅 車51分(26.4km),築18年,2階建,2階,4.9万円,5000円,-,4.9万円,1K,23.18m2,https://suumo.jp/chintai/jnc_000093730236/?bc=100381085664,1
31,2025-01-18 20:35:28,賃貸アパート,ベルコパン,埼玉県本庄市,ＪＲ高崎線/本庄駅 歩20分,,,築6年,2階建,1階,5.8万円,3000円,-,5.8万円,1LDK,48.39m2,https://suumo.jp/chintai/jnc_000050889991/?bc=100408658632,1
32,2025-01-18 20:35:28,賃貸アパート,フォンス,埼玉県本庄市中央２,ＪＲ高崎線/本庄駅 歩13分,湘南新宿ライン高海/本庄駅 歩13分,,築24年,2階建,1階,4.1万円,3300円,-,-,2DK,42.77m2,https://suumo.jp/chintai/jnc_000088075627/?bc=100416855244,1
33,2025-01-18 20:35:28,賃貸アパート,ブランシェ・コモ　Ｂ棟,埼玉県本庄市児玉町児玉南３,ＪＲ八高線/児玉駅 歩14分,,,築21年,2階建,2階,6万円,4000円,-,6万円,2LDK,63.7m2,https://suumo.jp/chintai/jnc_000095292145/?bc=100415658740,1
34,2025-01-18 20:35:28,賃貸アパート,リリー,埼玉県本庄市小島１,ＪＲ高崎線/本庄駅 歩27分,,,築4年,2階建,2階,5.7万円,3500円,5.7万円,-,1LDK,43.35m2,https://suumo.jp/chintai/jnc_000095672497/?bc=100407785337,1
35,2025-01-18 20:35:28,賃貸アパート,リリー,埼玉県本庄市小島１,ＪＲ高崎線/本庄駅 歩27分,,,築4年,2階建,2階,5.8万円,3500円,5.8万円,-,1LDK,43.35m2,https://suumo.jp/chintai/jnc_000095765117/?bc=100417519406,1
36,2025-01-18 20:35:28,賃貸アパート,リリー,埼玉県本庄市小島１,ＪＲ高崎線/本庄駅 歩27分,,,築4年,2階建,2階,5.9万円,3500円,5.9万円,-,1LDK,43.35m2,https://suumo.jp/chintai/jnc_000095157859/?bc=100248247915,1
37,2025-01-18 20:35:28,賃貸アパート,リリー,埼玉県本庄市小島１,ＪＲ高崎線/本庄駅 歩27分,,,築4年,2階建,2階,6万円,3500円,6万円,-,1LDK,43.35m2,https://suumo.jp/chintai/jnc_000094253037/?bc=100413114737,1
38,2025-01-18 20:35:28,賃貸アパート,ベルコパン　本庄,埼玉県本庄市,ＪＲ高崎線/本庄駅 歩22分,,,築6年,2階建,1階,5.8万円,3000円,-,5.8万円,1LDK,48.39m2,https://suumo.jp/chintai/jnc_000095765116/?bc=100417523157,1
39,2025-01-18 20:35:28,賃貸アパート,グレイスガーデン　アザレア　Ａ,埼玉県本庄市若泉１,ＪＲ高崎線/本庄駅 歩16分,,,築14年,2階建,1階,5.7万円,3000円,-,5.7万円,1LDK,44.75m2,https://suumo.jp/chintai/jnc_000069857185/?bc=100407645166,1
40,2025-01-18 20:35:28,賃貸アパート,グレイスガーデン　アザレア　Ａ,埼玉県本庄市若泉１,ＪＲ高崎線/本庄駅 歩16分,,,築14年,2階建,2階,6.45万円,3000円,-,6.45万円,2LDK,57.63m2,https://suumo.jp/chintai/jnc_000073033418/?bc=100402202142,1
41,2025-01-18 20:35:28,賃貸アパート,ラフィネ・Ａ,埼玉県本庄市小島６,ＪＲ高崎線/本庄駅 歩24分,,,築26年,2階建,1階,4.4万円,1700円,-,-,2DK,46.06m2,https://suumo.jp/chintai/jnc_000095441621/?bc=100415383468,1
42,2025-01-18 20:35:28,賃貸マンション,シャウエン本庄,埼玉県本庄市見福３,ＪＲ高崎線/本庄駅 歩13分,,,築6年,4階建,1階,6万円,3000円,6万円,6万円,1LDK,40m2,https://suumo.jp/chintai/jnc_000090875984/?bc=100402876969,1
